x, y, theta, stamp, 
-1.8053855369231466, -0.7479802237857925, -1.5697823853342654, 11575000000, 
-1.80544472097982, -0.7554011039913242, -1.587485562419814, 11609000000, 
-1.8056347988400239, -0.762875525761574, -1.6045062088973652, 11643000000, 
-1.8059454600680442, -0.7703602461451443, -1.6197850992783394, 11677000000, 
-1.8063645343563428, -0.7778045688207889, -1.6343847682390635, 11711000000, 
-1.8068909723164879, -0.7852087773282553, -1.6493125287428767, 11745000000, 
-1.8075235330277242, -0.7925712639975759, -1.6637892038271318, 11779000000, 
-1.808256447113357, -0.7998921120144915, -1.6774688359750365, 11813000000, 
-1.8090842573295125, -0.8071711661595077, -1.6908796452436576, 11847000000, 
-1.810005410439399, -0.8144088097282322, -1.704104373427899, 11881000000, 
-1.8110162245096302, -0.8216045740730333, -1.7168572928018409, 11915000000, 
-1.8121129762517358, -0.8287594284991364, -1.7291756156428786, 11949000000, 
-1.8132921604161365, -0.8358735797158527, -1.741226249986631, 11983000000, 
-1.8145514637326274, -0.8429477237921079, -1.7529631294237038, 12017000000, 
-1.8158877194833167, -0.8499823771730027, -1.7643256160342389, 12051000000, 
-1.8172978708098388, -0.8569781939580401, -1.7753639799528638, 12085000000, 
-1.8187793125317542, -0.8639357192043874, -1.7861139741388277, 12119000000, 
-1.8203295181066284, -0.870855483827612, -1.796561316911728, 12153000000, 
-1.821945922535565, -0.8777380983463945, -1.8067054536014144, 12187000000, 
-1.823626110404649, -0.8845842210033127, -1.8165691488176103, 12221000000, 
-1.8253678371894158, -0.8913945151490539, -1.8261617125498502, 12255000000, 
-1.8271690181487683, -0.898169772911766, -1.8354792686587076, 12289000000, 
-1.8290271646318232, -0.9049101482844798, -1.8445291347712198, 12323000000, 
-1.8309405500308091, -0.9116166691950774, -1.853331556202548, 12357000000, 
-1.8329071038117788, -0.9182896694122027, -1.861888589435379, 12391000000, 
-1.8349250330014113, -0.9249299565336037, -1.8702042013027091, 12425000000, 
-1.836992546333378, -0.9315381843127257, -1.878286601481778, 12459000000, 
-1.8391081098743347, -0.9381154458313973, -1.8861479102658063, 12493000000, 
-1.8412698085349923, -0.9446618151814358, -1.8937906985466002, 12527000000, 
-1.8434767470967295, -0.9511791805629, -1.9012187862752643, 12561000000, 
-1.8457226711310217, -0.9576562159971089, -1.9083320064017242, 12595000000, 
-1.8480136305094426, -0.9641174911670536, -1.91515764232418, 12629000000, 
-1.8503449718895495, -0.9705523163151305, -1.9220599174683242, 12663000000, 
-1.8527166036868, -0.9769611088152331, -1.9287903969272693, 12697000000, 
-1.855126785539477, -0.9833448858290267, -1.9351804193266362, 12731000000, 
-1.8575737716618603, -0.9897047933277558, -1.9414163751929574, 12765000000, 
-1.8600569437228112, -0.9960414681297752, -1.9475483995614162, 12799000000, 
-1.862575356419863, -1.0023555667598691, -1.9534774952946161, 12833000000, 
-1.8651276062276034, -1.0086478998152106, -1.9592077720919758, 12867000000, 
-1.8677129113633322, -1.0149192111057144, -1.9648009629375365, 12901000000, 
-1.8703300771836904, -1.0211701665780692, -1.9702464773005337, 12935000000, 
-1.8729783366744186, -1.0274014270471425, -1.975527087807809, 12969000000, 
-1.8756570647514732, -1.0336136804253544, -1.9806570161005692, 13003000000, 
-1.8783651071695089, -1.039807709425864, -1.9856524874722201, 13037000000, 
-1.881101708775639, -1.045984266721765, -1.9905080427721007, 13071000000, 
