imu_ax, imu_ay, kf_ax, kf_ay, kf_vx, kf_w, kf_x, kf_y, stamp, 
-0.09794976003969427, 0.3794432161985532, 1.0293860691003927, 0.3019297195304805, -0.1263825853476579, 2.963430563871038, -0.12091309118814134, 0.3471134090645039, builtin_interfaces.msg.Time(sec=95, nanosec=329000000), 
0.01485873629863826, 0.5022660131792503, 1.040165084066383, 0.3135506002868773, -0.038751765182231154, 3.0670353505424996, -0.15184367104130778, 0.35274693223595266, builtin_interfaces.msg.Time(sec=95, nanosec=431000000), 
0.03403082331747486, 0.3803628134936605, 1.044615624947191, 0.32664888298626654, 0.006480965007577111, 3.171326917502404, -0.18402081145356938, 0.3552003479263283, builtin_interfaces.msg.Time(sec=95, nanosec=533000000), 
-0.20596861131118635, 0.3539999109240329, 1.0462642219338167, 0.33639561660458034, -0.12455529040135732, 3.2758903688942715, -0.2175833385895262, 0.3542823746170696, builtin_interfaces.msg.Time(sec=95, nanosec=601000000), 
-0.037898905451859796, 0.4215411138193919, 1.0268817776584425, 0.3460452396989411, -0.0706680935347985, 3.37931889015293, -0.2521237550819674, 0.34968347622690565, builtin_interfaces.msg.Time(sec=95, nanosec=703000000), 
-0.03431876304431351, 0.41679195345131675, 1.0092681104269579, 0.35736578799646207, -0.04790943156145863, 3.4809184834172155, -0.28680253294240454, 0.34134559431423006, builtin_interfaces.msg.Time(sec=95, nanosec=805000000), 
0.09952164046230802, 0.45601452721834673, 1.0352487845209049, 0.3688080301219334, 0.04340729375001612, 3.583450988423981, -0.3212148525021144, 0.32923149461572876, builtin_interfaces.msg.Time(sec=95, nanosec=907000000), 
0.031898105469391806, 0.39609094947900964, 1.0341527296097606, 0.38117784647801156, 0.03643660814127038, 3.686908126957209, -0.35502843252748556, 0.31327242919067555, builtin_interfaces.msg.Time(sec=96, nanosec=9000000), 
-0.07604926814782836, 0.5510596095838328, 1.0339695273211418, 0.3906370353202668, -0.032926323867533205, 3.790312077394067, -0.3881057770303288, 0.29325896842751165, builtin_interfaces.msg.Time(sec=96, nanosec=111000000), 
-0.0841621736910589, 0.4774858748178657, 1.005148566476188, 0.3994288732167109, -0.06435992597281247, 3.8919277967871198, -0.41992491975804835, 0.26920601049148385, builtin_interfaces.msg.Time(sec=96, nanosec=213000000), 
